time,open,high,low,close
1674936000,23048,23048,22965,22966
1674939600,22968,23010,22956,23009
1674943200,23004,23018,22988,22988
1674946800,22986,23037,22975,23033
1674950400,23031,23144,22981,23119
1674954000,23122,23498,23122,23244
1674957600,23245,23284,23067,23149
1674961200,23150,23205,23113,23197
1674964800,23205,23242,23154,23236
1674968400,23243,23254,23203,23252
1674972000,23254,23271,23193,23207
1674975600,23207,23226,23185,23212
1674979200,23212,23227,23165,23173
1674982800,23177,23373,23167,23302
1674986400,23310,23489,23310,23450
1674990000,23449,23613,23287,23431
1674993600,23435,23540,23363,23477
1674997200,23486,23656,23469,23537
1675000800,23544,23595,23433,23547
1675004400,23547,23553,23483,23529
1675008000,23531,23651,23479,23588
1675011600,23601,23639,23560,23597
1675015200,23599,23755,23544,23688
1675018800,23687,23954,23667,23907
1675022400,23909,23910,23627,23702
1675026000,23699,23822,23655,23800
1675029600,23798,23822,23730,23774
1675033200,23762,23878,23732,23746
1675036800,23748,23799,23689,23757
1675040400,23757,23768,23632,23670
1675044000,23669,23675,23578,23645
1675047600,23645,23704,23630,23703
1675051200,23708,23764,23704,23718
1675054800,23718,23731,23668,23728
1675058400,23731,23744,23668,23697
1675062000,23697,23707,23609,23649
1675065600,23643,23675,23515,23553
1675069200,23550,23550,23142,23192
1675072800,23190,23302,23115,23246
1675076400,23246,23278,23028,23087
1675080000,23081,23148,22968,23074
1675083600,23075,23125,23052,23064
1675087200,23061,23282,23036,23282
1675090800,23285,23299,23056,23180
1675094400,23179,23243,23120,23171
1675098000,23170,23240,23095,23109
1675101600,23103,23180,23076,23136
1675105200,23140,23140,22639,22788
1675108800,22775,22809,22565,22689
1675112400,22698,22793,22687,22748
1675116000,22735,22772,22504,22736
1675119600,22737,22840,22714,22831
1675123200,22831,22869,22724,22833
1675126800,22837,22861,22761,22834
1675130400,22833,22908,22821,22858
1675134000,22859,22869,22823,22835
1675137600,22840,22864,22805,22864
1675141200,22866,22871,22762,22762
1675144800,22760,22864,22750,22814
1675148400,22814,22985,22812,22976
1675152000,22985,22990,22842,22911
1675155600,22911,22938,22886,22896
1675159200,22893,22904,22821,22830
1675162800,22829,22880,22816,22864
1675166400,22864,22921,22856,22898
1675170000,22906,23118,22890,23118
